BookingID	Travel Type	Class	Seat Number	PassengerID	FlightID
11707	Business travel	Business	54	94013	87397
24069	Business travel	Eco	378	80107	35265
29157	Business travel	Eco	703	23590	116980
27261	Business travel	Eco	234	110384	117923
15725	Business travel	Eco Plus	360	15069	34847
23007	Business travel	Eco	378	17128	18585
16925	Business travel	Eco	414	54060	123476
25715	Business travel	Business	1680	129240	73391
28793	Personal Travel	Eco	396	97165	46336
11905	Business travel	Business	703	111696	62721
17816	Business travel	Business	1560	1887	46174
18761	Business travel	Eco	2790	89086	40648
24713	Personal Travel	Eco	396	35485	72769
24287	Personal Travel	Eco	2550	35719	98489
12356	Business travel	Business	888	85669	5301
18800	Personal Travel	Eco	396	1137	34671
22589	Business travel	Business	378	8358	83148
27116	Business travel	Business	2340	17217	41835
23880	Personal Travel	Eco	2460	44847	20669
16769	Personal Travel	Eco	1620	96673	85261
20298	Business travel	Eco	1710	80152	55665
23589	Business travel	Eco	414	82277	42558
18809	Personal Travel	Eco	2520	123927	87792
13898	Business travel	Business	148	115766	90541
23567	Personal Travel	Eco	2460	21134	122871
24173	Business travel	Eco	1710	112062	571
29482	Business travel	Business	396	28643	118395
28212	Business travel	Business	1650	108010	98320
25974	Business travel	Business	1530	92145	83752
16591	Business travel	Eco	1650	115846	58667
14184	Business travel	Business	1680	99685	34061
28167	Business travel	Business	888	112072	115954
18529	Personal Travel	Eco	1710	119226	106761
19867	Business travel	Business	1064	115925	31758
26417	Personal Travel	Eco	18	106552	119296
28734	Personal Travel	Business	925	25126	121374
28143	Business travel	Business	1680	33426	36302
11181	Business travel	Eco	18	125844	84083
11807	Business travel	Business	3211	70328	116484
12740	Personal Travel	Eco Plus	3564	88847	127554
12889	Personal Travel	Eco Plus	3097	108398	2133
15479	Business travel	Business	2257	97316	114194
19994	Business travel	Business	2220	124811	2830
15425	Business travel	Eco Plus	3667	23012	78600
16428	Personal Travel	Eco	925	18088	4837
11989	Personal Travel	Business	3510	37982	36065
27715	Business travel	Eco	3705	31332	102856
15653	Business travel	Business	3870	97455	95527
28514	Business travel	Business	3780	28901	77956
20070	Business travel	Business	3258	107606	25856
28402	Business travel	Business	2109	53258	50130
24414	Business travel	Business	2368	14292	32272
20500	Business travel	Business	3348	68232	17300
13061	Business travel	Eco Plus	2368	51224	96951
21309	Personal Travel	Eco	3154	121386	58412
21488	Business travel	Eco	3420	31668	9195
12457	Personal Travel	Eco	1776	24628	123518
13761	Business travel	Business	3636	95876	121267
17105	Personal Travel	Eco	2850	62793	54400
27973	Personal Travel	Eco	3852	83516	113100
22992	Business travel	Eco	1036	13221	100059
22305	Business travel	Business	851	100404	10031
12601	Business travel	Eco	2257	121453	8435
26451	Business travel	Eco	1961	21454	59884
13936	Business travel	Eco	3564	15937	74361
20892	Business travel	Business	4410	70105	54858
25207	Personal Travel	Eco	2627	47540	110316
22690	Business travel	Business	4158	57561	91515
18766	Business travel	Business	18	124103	101363
12197	Business travel	Eco Plus	124	125736	114268
18150	Personal Travel	Eco	124	93362	122361
13508	Business travel	Business	124	95429	126517
20046	Business travel	Business	551	106943	102239
11399	Personal Travel	Eco	513	100691	27567
24551	Business travel	Business	18	119948	40411
12256	Business travel	Eco	589	15778	13772
27318	Business travel	Business	18	68342	32752
16312	Personal Travel	Eco	18	24665	47732
15455	Business travel	Business	24	81029	125384
22555	Personal Travel	Eco	18	70371	39050
25491	Personal Travel	Eco Plus	18	1386	16190
11390	Business travel	Eco	18	35225	124641
16433	Business travel	Business	18	86204	67228
17822	Personal Travel	Eco	962	126370	73888
19323	Personal Travel	Eco	36	116184	122246
27122	Business travel	Business	962	89613	102264
13672	Business travel	Business	925	99020	98204
17641	Business travel	Business	925	18463	86250
19367	Business travel	Eco	999	96637	29033
13781	Business travel	Business	18	114678	17050
28894	Business travel	Business	60	97639	115138
12534	Business travel	Business	703	75061	51671
22831	Personal Travel	Eco	777	51744	109104
28395	Personal Travel	Eco	851	44413	524
19490	Business travel	Business	18	2389	17290
11555	Personal Travel	Eco Plus	962	105062	83942
19487	Business travel	Business	925	91464	7883
24043	Personal Travel	Eco Plus	999	55721	119986
28471	Business travel	Business	851	65726	113962
27126	Business travel	Business	36	8473	107375
11594	Business travel	Eco	18	13488	84502
17805	Business travel	Business	252	58611	26172
19352	Personal Travel	Eco	690	39607	90005
17938	Personal Travel	Eco Plus	36	41704	77448
25513	Personal Travel	Eco	2502	126579	8833
25723	Business travel	Eco	1850	44232	83674
15925	Personal Travel	Business	54	44021	57814
17957	Personal Travel	Eco Plus	1295	67502	129782
28442	Business travel	Business	2220	19525	69582
14942	Business travel	Business	180	110015	122284
12466	Personal Travel	Eco	5370	30960	89865
20057	Personal Travel	Business	5760	2153	103955
28380	Business travel	Business	162	115097	127707
19252	Business travel	Business	1110	63204	62563
22795	Business travel	Business	3219	113849	114746
22449	Business travel	Eco Plus	2898	95508	24081
18623	Business travel	Business	5190	112350	89113
12509	Business travel	Eco	2775	20650	57994
12221	Business travel	Business	3258	65517	93625
19494	Business travel	Eco	4560	116988	105021
28132	Personal Travel	Eco	3145	116210	35824
12782	Business travel	Business	5250	15218	106462
27699	Business travel	Business	150	35387	32426
14525	Business travel	Eco	108	20002	94373
11141	Business travel	Eco	4740	102927	37295
16153	Business travel	Eco	4680	92462	112569
26369	Personal Travel	Eco	2664	70950	123469
13679	Business travel	Business	162	76034	14513
17254	Personal Travel	Eco	5160	97177	45045
11813	Personal Travel	Eco	2886	51719	23463
19056	Business travel	Business	2072	129201	115901
26995	Personal Travel	Eco	180	35558	64466
15070	Business travel	Business	2146	109398	13877
13180	Business travel	Business	5190	65351	17021
19833	Personal Travel	Eco	2553	102482	52084
26799	Personal Travel	Eco Plus	2225	17932	75789
24823	Personal Travel	Eco	18	122276	96184
13899	Business travel	Eco	5957	57484	57172
29359	Business travel	Business	5772	121069	87428
12055	Personal Travel	Eco	1855	41414	114658
16948	Business travel	Eco	6549	49839	40263
17888	Business travel	Eco	117	48189	118035
24628	Business travel	Business	2753	82445	107225
24960	Business travel	Business	72	108108	16649
21382	Business travel	Eco Plus	5587	63984	76920
23908	Business travel	Business	2660	105287	118050
14987	Personal Travel	Eco	1287	9385	22717
12515	Business travel	Eco	980	25265	24477
29479	Business travel	Eco	677	119844	16671
20915	Business travel	Business	4014	33840	31277
20824	Business travel	Eco	3949	81815	19263
26738	Personal Travel	Eco	3774	83524	51217
21665	Business travel	Business	2880	78999	4698
21072	Personal Travel	Eco	18	46712	21030
21314	Personal Travel	Eco	4070	41188	86709
22626	Business travel	Business	62	5326	11231
12068	Business travel	Eco	3690	80176	111213
28094	Business travel	Business	4144	46900	124654
22526	Personal Travel	Eco	3690	89219	123725
25025	Business travel	Eco Plus	3450	17928	70167
22874	Business travel	Business	6105	55425	54255
12908	Business travel	Business	1989	88130	87226
28790	Business travel	Eco	54	48354	21969
11238	Business travel	Eco	90	105905	18753
16546	Business travel	Business	4033	60943	64145
11538	Business travel	Business	18	101584	66455
11973	Business travel	Business	2287	71388	36052
23929	Business travel	Business	5624	77866	97221
16600	Business travel	Eco	3367	49223	93904
14136	Personal Travel	Eco	5439	106530	117234
19419	Business travel	Business	2908	28676	109773
28475	Business travel	Business	2670	39553	105251
24365	Business travel	Eco	432	109597	103198
26913	Business travel	Business	2004	62291	38989
18874	Business travel	Business	54	40177	76972
20023	Business travel	Eco	37	33413	41945
27231	Business travel	Eco	37	127599	82616
16248	Personal Travel	Eco	30	66723	106605
12594	Business travel	Business	30	73698	54202
18828	Personal Travel	Eco Plus	432	27641	67993
26125	Business travel	Business	37	83891	85503
12057	Business travel	Eco	30	51662	116299
24498	Personal Travel	Eco	111	19833	25418
11950	Personal Travel	Eco	814	63416	95171
12949	Business travel	Business	30	7645	108289
22399	Business travel	Eco	740	86002	103882
19508	Personal Travel	Eco	90	64457	55219
25017	Personal Travel	Eco	18	109551	40546
18081	Business travel	Eco Plus	814	86553	111701
14730	Business travel	Eco	666	17491	106614
20742	Business travel	Business	296	114667	115100
16739	Business travel	Business	60	59149	64002
21378	Business travel	Business	30	74892	73289
29049	Business travel	Eco	18	15197	94261
19821	Personal Travel	Eco	18	6867	44235
21741	Business travel	Eco	18	111943	73672
19232	Personal Travel	Eco	31	46720	82435
28630	Business travel	Eco Plus	248	67966	56835
27076	Business travel	Business	31	33341	68951
16614	Business travel	Eco	248	50319	11223
22186	Business travel	Business	124	82927	75795
21983	Business travel	Eco	2201	14562	102789
11334	Business travel	Eco	2604	108335	40385
15041	Personal Travel	Eco	126	97959	18085
23600	Business travel	Eco	2489	1026	11331
18554	Business travel	Business	2945	26910	95037
23212	Business travel	Business	3317	14054	84926
24035	Business travel	Business	5735	109458	20363
27275	Personal Travel	Eco	7067	51772	33866
20767	Personal Travel	Eco	72	15019	67376
11872	Business travel	Eco	4958	23664	24064
27565	Business travel	Business	2108	6731	67956
28534	Business travel	Business	18	57753	41249
23299	Business travel	Business	2666	29788	120550
19662	Business travel	Business	62	28336	12622
11508	Personal Travel	Eco	2728	2878	91956
28155	Business travel	Eco	5180	81675	15105
22054	Personal Travel	Eco	6401	50905	6106
25694	Business travel	Business	90	90850	66108
21521	Business travel	Eco Plus	5069	29340	33284
28130	Personal Travel	Eco Plus	144	68731	37256
20697	Personal Travel	Eco	2635	115978	7509
20869	Business travel	Business	54	29829	86633
24339	Personal Travel	Eco	2542	82401	56946
18622	Business travel	Eco Plus	6253	80083	129270
27073	Business travel	Eco	5624	42783	93090
16727	Business travel	Business	2604	39020	107649
14745	Personal Travel	Eco	36	46111	102199
16657	Business travel	Business	6068	66327	94582
24198	Business travel	Business	6142	43012	24623
28924	Business travel	Eco	90	82776	28958
13838	Personal Travel	Eco	5143	48215	79757
15150	Business travel	Business	2759	57441	99001
17295	Personal Travel	Eco	144	55928	45546
27563	Personal Travel	Eco	2790	98446	61171
14946	Business travel	Business	5069	121273	122571
25833	Personal Travel	Eco	3610	59385	114621
19845	Business travel	Eco	185	27078	96
28907	Business travel	Business	1364	104661	52245
13600	Business travel	Eco	1612	111483	80568
27197	Business travel	Business	370	11558	83978
15194	Business travel	Eco	18	83673	97447
21070	Business travel	Business	18	120382	89251
12687	Personal Travel	Eco	38	82170	85745
16067	Business travel	Business	1705	117397	64956
20515	Business travel	Business	1674	59357	107793
11762	Personal Travel	Eco Plus	837	91983	58727
17016	Business travel	Business	1426	119617	44952
15677	Business travel	Business	899	90639	90520
25696	Business travel	Business	37	59638	97946
23774	Business travel	Business	333	119074	45585
23844	Personal Travel	Eco	1395	13395	28489
16707	Personal Travel	Eco Plus	744	108871	71991
13084	Business travel	Business	259	104029	49642
23649	Business travel	Business	868	12025	84510
25849	Business travel	Business	806	42755	65539
15638	Personal Travel	Eco	37	32936	71059
20740	Personal Travel	Eco	1767	53978	128787
20624	Business travel	Business	18	70029	50273
26537	Personal Travel	Eco	18	96407	23829
19161	Personal Travel	Eco	111	127129	53442
18700	Business travel	Business	930	113946	36680
12891	Personal Travel	Eco	1184	40606	129174
20707	Personal Travel	Eco	899	7742	66701
21873	Personal Travel	Eco	3219	128529	50127
23340	Business travel	Business	31	80556	61661
17450	Business travel	Business	248	22155	11168
24812	Personal Travel	Business	248	56314	33786
11674	Business travel	Business	962	82206	56880
11959	Business travel	Business	775	68344	21299
21984	Business travel	Business	248	18464	96029
12603	Business travel	Business	248	129310	31595
11043	Business travel	Business	37	70613	117431
29458	Business travel	Business	62	8558	113538
21803	Business travel	Eco	1643	86840	107877
24868	Business travel	Business	248	122170	120028
14868	Personal Travel	Eco	124	24839	60296
18325	Business travel	Eco	925	87935	35628
22943	Business travel	Eco	775	10735	19684
26327	Business travel	Business	18	118083	120414
11965	Business travel	Business	1519	15189	62255
25902	Business travel	Business	3145	116832	66636
23102	Business travel	Business	3145	99415	20671
21628	Personal Travel	Business	3071	111821	55191
14594	Business travel	Business	1550	60089	122594
22015	Business travel	Eco	24	51644	23746
13042	Personal Travel	Eco	18	129771	19098
20539	Business travel	Business	713	5412	38609
25456	Business travel	Eco	2479	98444	27009
19370	Business travel	Eco	1073	39113	92236
17809	Business travel	Business	124	36518	105057
15109	Personal Travel	Eco Plus	124	119576	124287
15082	Personal Travel	Eco	124	57227	11562
29205	Personal Travel	Eco	124	107365	42764
25452	Business travel	Business	124	233	66420
16387	Personal Travel	Eco	18	70295	3400
19155	Business travel	Business	37	110124	92082
20837	Business travel	Eco	37	46382	67321
13089	Business travel	Eco	5580	121254	38598
20511	Business travel	Business	3256	92891	103346
23273	Business travel	Business	90	57816	4371
12279	Personal Travel	Eco Plus	3876	36109	62271
28529	Business travel	Business	1221	1770	32698
25473	Business travel	Business	6975	70400	23122
14616	Personal Travel	Eco Plus	108	75299	67731
25447	Personal Travel	Eco	36	121885	52198
21936	Personal Travel	Eco Plus	333	93772	92084
21069	Business travel	Business	6107	15078	20162
19525	Personal Travel	Eco	69	17597	6372
20569	Business travel	Business	4402	4927	15577
19677	Personal Travel	Eco	1776	32994	102223
15303	Business travel	Eco	3819	8213	59324
13146	Business travel	Eco Plus	4292	53073	32360
28926	Personal Travel	Eco	36	19789	43987
23411	Business travel	Business	4712	84270	34051
23366	Business travel	Business	6882	74151	111369
25607	Business travel	Business	2849	117893	58479
20899	Personal Travel	Eco	4867	15249	90158
19179	Business travel	Business	186	114937	100504
24383	Business travel	Business	18	85861	22121
16132	Business travel	Eco	72	17158	54915
14708	Business travel	Business	3219	128028	55465
19474	Personal Travel	Eco Plus	5301	3109	30622
17195	Business travel	Business	3472	6332	113514
18179	Business travel	Business	1110	129473	45687
28912	Personal Travel	Eco	72	70511	25888
25143	Personal Travel	Eco	18	8529	124639
14818	Business travel	Eco	5363	44101	62929
25534	Business travel	Business	2072	20031	63713
12307	Personal Travel	Eco	36	2103	91015
24013	Business travel	Business	62	33484	67694
19464	Business travel	Eco	3819	41094	44192
16089	Business travel	Business	3496	76419	71956
22959	Business travel	Eco	18	107120	102043
25182	Personal Travel	Eco	1426	109543	124447
11148	Personal Travel	Business	54	86687	64665
25200	Business travel	Eco	8066	106144	58638
15827	Personal Travel	Eco	8769	126649	71692
24005	Business travel	Business	3762	5451	22292
21700	Business travel	Business	3857	99445	118507
19717	Business travel	Business	69	44102	23876
21586	Business travel	Eco	18	81994	62302
15305	Business travel	Business	18	54677	14424
19156	Business travel	Business	18	32338	84928
12627	Personal Travel	Business	37	56855	50916
27488	Business travel	Business	3293	5993	106424
23735	Business travel	Business	372	100442	42231
18531	Personal Travel	Eco	3256	74164	33025
13251	Personal Travel	Eco	2738	59220	108226
22681	Business travel	Business	248	47033	91783
27739	Personal Travel	Eco	3404	51724	76745
29056	Business travel	Business	248	107246	77432
17357	Business travel	Business	4366	102045	40828
11593	Business travel	Business	3034	80996	95242
22737	Business travel	Business	248	55696	119548
28969	Personal Travel	Eco	3219	4705	100062
11081	Business travel	Business	3219	124533	85571
13925	Business travel	Business	2997	89236	36883
13956	Business travel	Eco	124	27404	83071
20884	Business travel	Business	3219	66299	73207
28906	Personal Travel	Eco	124	90250	27048
12805	Personal Travel	Eco	3071	69604	60768
11402	Personal Travel	Eco	3996	62231	125883
11301	Personal Travel	Eco	124	127414	74953
16542	Personal Travel	Eco	124	83287	119516
18737	Business travel	Eco	8547	62159	112677
29279	Personal Travel	Eco	69	89936	17666
25090	Business travel	Business	8917	92960	664
11866	Personal Travel	Business	8140	96429	115109
19328	Business travel	Business	8214	20254	115868
19466	Personal Travel	Eco	8695	80034	3187
11954	Business travel	Business	8695	120984	118807
14879	Business travel	Eco	8806	58651	92499
11011	Business travel	Business	8806	45129	58605
12137	Business travel	Business	8917	64820	68879
11903	Personal Travel	Eco Plus	8436	22529	100601
26407	Business travel	Eco	8917	117917	88315
17500	Personal Travel	Business	7511	9639	18486
19631	Personal Travel	Eco	36	91209	93663
27938	Business travel	Eco	8732	61396	37708
28827	Business travel	Business	8954	12717	48817
18210	Personal Travel	Eco	8103	82915	93617
29454	Business travel	Eco	8510	120263	118340
14988	Business travel	Business	8547	108065	54627
20125	Business travel	Business	8769	122726	113723
23762	Business travel	Eco Plus	8473	24852	67574
11735	Business travel	Business	7955	117853	118078
15887	Business travel	Business	8436	81119	43706
16785	Personal Travel	Eco	8843	16367	16390
18025	Business travel	Eco	8140	44186	93487
14188	Business travel	Eco Plus	8843	113137	30365
13875	Business travel	Business	69	108721	111657
17572	Business travel	Business	69	93342	20996
20467	Business travel	Business	69	75321	119328
29384	Business travel	Business	124	49436	126332
20010	Personal Travel	Eco	124	65748	45814
16577	Personal Travel	Business	37	102057	90781
22397	Personal Travel	Eco Plus	4588	39468	95424
22485	Personal Travel	Eco	124	28492	63939
27334	Business travel	Eco	3848	64793	128739
12753	Business travel	Business	4218	18513	87596
15270	Business travel	Eco	4255	8799	38201
20497	Personal Travel	Eco	4403	92140	36970
18935	Personal Travel	Eco	3774	93211	31259
20756	Business travel	Business	4033	66112	98891
22196	Business travel	Business	4218	108771	5205
27599	Business travel	Eco	4292	35164	30225
13763	Personal Travel	Eco	37	48375	102373
22421	Business travel	Eco	4181	46358	33436
23983	Personal Travel	Eco	4588	128508	37497
21258	Business travel	Business	4181	98704	53379
11667	Business travel	Eco Plus	69	18274	7774
18217	Personal Travel	Eco	124	20972	56753
20233	Business travel	Business	4144	79500	92737
12874	Business travel	Business	4699	93098	58209
22776	Business travel	Business	5328	36733	72423
15015	Business travel	Eco	5328	45812	83838
23471	Business travel	Business	5106	65598	99948
19148	Personal Travel	Eco	4995	61803	5965
19557	Business travel	Eco Plus	5180	36818	5219
14073	Business travel	Eco	4440	32419	116761
24114	Business travel	Business	4921	57621	9864
26542	Business travel	Business	5587	7577	96141
25917	Business travel	Business	5365	40216	3307
27342	Business travel	Eco	5661	89656	96873
12040	Business travel	Business	8066	77601	73507
18889	Business travel	Business	8695	13121	114547
28331	Business travel	Business	8362	15903	49472
14986	Business travel	Eco	7400	24590	103875
24409	Personal Travel	Eco	8991	39616	39033
25191	Business travel	Eco	7585	31853	97413
23380	Personal Travel	Eco	8436	62199	9660
18397	Business travel	Business	8510	70191	11239
12165	Personal Travel	Eco	8991	108648	101515
28576	Business travel	Eco Plus	8251	30969	87812
26142	Business travel	Business	8436	77620	51642
22112	Business travel	Business	8325	83491	20319
26598	Business travel	Business	7437	128941	54842
26795	Business travel	Business	8917	22663	11116
28351	Personal Travel	Eco	7326	78836	22910
17054	Business travel	Business	7733	85042	100866
12957	Business travel	Eco	6401	36786	61068
